country1,country2,long1,long2,lat1,lat2
Australia,England,1600,955,750,360
Australia,New Zealand,1600,1685,750,835
Australia,United States,1600,550,750,450
New Zealand,United States,1685,550,835,450
Austria,China,1025,1400,395,450
China,Germany,1400,1010,450,355
China,United States,1400,550,450,450
Austria,Germany,1025,1010,395,355
Austria,Hungary,1025,1045,395,395
Germany,Hungary,1010,1045,355,395
Germany,Italy,1010,1010,355,420
Germany,Norway,1010,990,355,290
Germany,Sweden,1010,1020,355,290
Germany,Denmark,1010,1000,355,330
Germany,France,1010,970,355,400
Germany,Norway,1010,990,355,290
Germany,United States,1010,550,355,450
Canada,England,500,955,300,360
Canada,Germany,500,1010,300,355
Canada,Italy,500,1010,300,420
Canada,France,500,970,300,400
Canada,United States,500,550,300,450
Canada,Scotland,500,955,300,360
England,Germany,955,1010,360,355
England,Italy,955,1010,360,420
England,United States,955,550,360,450
England,France,955,970,360,400
England,Ireland,955,925,360,355
France,United States,970,550,400,450
France,Italy,970,1010,400,420
France,Portugal,970,925,400,435
China,Japan,1400,1555,450,455
Czechoslovakia,Germany,1025,1010,380,355
Denmark,Italy,1000,1010,330,420
Denmark,Norway,1000,990,330,290
Denmark,Sweden,1000,1020,330,290
Denmark,United States,1000,550,330,450
Ireland,United States,925,550,355,450
Mexico,United States,520,550,520,450
