,Jobs,Unnamed: 0,ID,Name,Pseudonyms,Link,Picture,Lived in,Born,Died
0,accountant,5,5,5,5,5,4,5,5,5
1,actress,160,160,160,136,160,145,160,160,160
2,adapter,35,35,35,31,35,30,35,35,35
7,art director,6,6,6,5,6,6,6,6,6
10,business partner,11,11,11,8,11,6,11,11,11
12,censor,6,6,6,3,6,4,6,6,6
14,cinematographer,19,19,19,14,19,14,19,19,19
15,co-founder,8,8,8,7,8,7,8,8,7
16,comedienne,7,7,7,3,7,7,7,7,7
17,company director,13,13,13,13,13,12,13,13,13
18,consultant,6,6,6,5,6,5,6,6,6
19,continuity,9,9,9,8,9,8,9,9,9
21,critic,22,22,22,16,22,19,22,22,21
23,designer,11,11,11,11,11,11,11,11,11
24,director,136,136,136,103,136,121,136,136,135
25,distributor,13,13,13,10,13,11,13,13,13
27,dressmaker,15,15,15,14,15,12,15,15,15
28,editor,69,69,69,56,69,59,69,69,68
29,educator,10,10,10,7,10,9,10,10,10
31,entrepreneur,9,9,9,7,9,6,9,9,9
34,exhibitor,7,7,7,5,7,3,7,7,7
35,extra,10,10,10,9,10,10,10,10,10
39,film company founding partner,11,11,11,10,11,10,11,11,11
41,film company owner,31,31,31,23,31,27,31,31,31
45,filmmaker,20,20,20,11,20,17,20,20,20
56,lecturer,8,8,8,6,8,7,8,8,8
60,manager,13,13,13,11,13,12,13,13,13
64,musician,20,20,20,18,20,17,20,20,20
70,producer,117,117,117,90,117,104,117,117,117
75,reader,7,7,7,7,7,6,7,7,7
77,scenarist,7,7,7,7,7,6,7,7,7
78,scholar,5,5,5,4,5,5,5,5,5
80,secretary,9,9,9,6,9,8,9,9,9
87,stunt person,6,6,6,6,6,6,6,6,6
91,visual artist,15,15,15,11,15,13,15,15,15
93,writer,211,211,211,171,211,185,211,211,210
